#,抹茶,冰淇淋,咖哩,臭豆腐,義大利肉醬,叉燒,麻糬,Other,哪種呈現方式會增加你的購買意願?,如果推出買10送1的活動，你會願意買10的倍數嗎?,"Start Date (UTC)","Submit Date (UTC)","Network ID"
ecd7e70ab6e30276207cccb35e1c1675,,,咖哩,義大利肉醬,,叉燒,,,一列排開展示,0,"2016-12-13 15:35:05","2016-12-13 15:35:46",c31e8d3ccb
92e4c35395489f2eac599558c3d35625,抹茶,,,,,,,,一列排開展示,1,"2016-12-13 15:48:02","2016-12-13 15:57:01",c31e8d3ccb
8c4254a77f7745a6a48020be98f14f57,抹茶,冰淇淋,咖哩,,義大利肉醬,叉燒,麻糬,,剖面精美展示,0,"2016-12-13 15:59:03","2016-12-13 16:00:32",bff8b32d45
1a560429eed18f60d0218381710cb797,,,,,,,麻糬,,剖面精美展示,0,"2016-12-13 16:05:16","2016-12-13 16:06:02",888b122201
413ea0d5d035512c431d386647ba47cf,抹茶,冰淇淋,,臭豆腐,,,麻糬,,剖面精美展示,0,"2016-12-13 16:06:56","2016-12-13 16:11:01",7236d75db0
c0837fb1057aeb81d76b7d8dbec6dba8,抹茶,冰淇淋,,臭豆腐,,叉燒,,,剖面精美展示,0,"2016-12-14 02:09:02","2016-12-14 02:09:45",c31e8d3ccb
c301427b883e1347b4cc664cce9ab801,抹茶,,,,,,,,剖面精美展示,0,"2016-12-14 04:35:57","2016-12-14 04:37:01",052488627f
f6b46b35f719ac5ec3fb1b6ea112fb54,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 05:32:14","2016-12-14 05:32:52",3fee3303af
d0d942a8d6df14dcddb04ca725ed8730,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 07:35:35","2016-12-14 07:35:51",02b2632812
0b9c7c4da936a2c624d805c7823984db,,,咖哩,臭豆腐,義大利肉醬,,,,,1,"2016-12-14 07:35:55","2016-12-14 07:37:19",02b2632812
00a329501c32c2c74871f20783d39367,,,咖哩,臭豆腐,義大利肉醬,,,,一列排開展示,1,"2016-12-14 07:37:31","2016-12-14 07:38:01",02b2632812
c554f7bd3c8a30ccbdabc3822fae0895,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 07:41:45","2016-12-14 07:42:22",02b2632812
ac50daead2a6aeaf03bd9d69cba989e6,抹茶,冰淇淋,,臭豆腐,,叉燒,,,剖面精美展示,0,"2016-12-14 07:42:15","2016-12-14 07:42:39",600ec03e88
91a8fdfdc87388db1aaef4598cbd6b80,,冰淇淋,,,,,麻糬,,剖面精美展示,0,"2016-12-14 07:42:18","2016-12-14 07:42:41",02b2632812
e61e45a906b5e33d1e91ff3e3ce0601c,抹茶,,,,,,,,一列排開展示,0,"2016-12-14 07:42:30","2016-12-14 07:43:03",02b2632812
f625da7e225293aca9fbb2f5e88fc505,,,咖哩,,,叉燒,,,剖面精美展示,1,"2016-12-14 07:43:21","2016-12-14 07:43:33",2bf49d0d81
a2e642e1fd2e9cf03b38934edf2a6b77,,,咖哩,,義大利肉醬,叉燒,麻糬,,剖面精美展示,1,"2016-12-14 07:44:29","2016-12-14 07:44:41",ee1f5b84d3
3ac0eb58dc03c1cf3635af10ba537a57,抹茶,,,,,,,水果,剖面精美展示,0,"2016-12-14 07:45:44","2016-12-14 07:46:13",394045a590
3230dd60e923fe8f64d789343a2f0bc7,,冰淇淋,,,,,麻糬,,環狀堆疊,1,"2016-12-14 07:46:07","2016-12-14 07:46:20",93d0eb86e4
7dd339414a5087d3cd68771098cf0ffc,,,咖哩,臭豆腐,,叉燒,麻糬,,一列排開展示,0,"2016-12-14 07:46:55","2016-12-14 07:47:11",7e91064ec2
584ffef78d78e4b1d1b2afa18753ba92,,冰淇淋,,臭豆腐,,,麻糬,,一列排開展示,0,"2016-12-14 07:48:03","2016-12-14 07:48:16",56caab4b64
b4bddf14ac3638ed497d0ac1a62fdab4,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,1,"2016-12-14 07:50:25","2016-12-14 07:50:55",02b2632812
281c5196a427e97f231801d7ffc1c5be,,,咖哩,臭豆腐,,,,,環狀堆疊,1,"2016-12-14 07:50:41","2016-12-14 07:50:56",02b2632812
b34f892654b89a30ca5b0977f9e92e3d,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,1,"2016-12-14 07:50:07","2016-12-14 07:50:57",bc0ce4a4d8
a41dabffde9a5a79573fc8d468d372f0,,,咖哩,臭豆腐,,,麻糬,,環狀堆疊,0,"2016-12-14 07:51:18","2016-12-14 07:51:31",02b2632812
9c2446a120b75decb114d7c25642f90c,,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 07:50:27","2016-12-14 07:52:06",9972f5f312
4eda46b839b5a9ad7c94fc00bab3d75f,抹茶,冰淇淋,,,,,麻糬,,剖面精美展示,1,"2016-12-14 07:53:26","2016-12-14 07:53:39",c6ff1cc053
cedc0be043c2954ce8102b458c0188df,,冰淇淋,咖哩,,,叉燒,麻糬,,一列排開展示,1,"2016-12-14 07:54:27","2016-12-14 07:54:43",6badc467ac
063efa337b12bd036d20ee62cb86d83c,抹茶,冰淇淋,,,義大利肉醬,,麻糬,,一列排開展示,1,"2016-12-14 07:55:22","2016-12-14 07:55:36",a7c6f3fec7
3bb9c4034747af4c34a43ba62cfe180c,,,咖哩,,,叉燒,,,環狀堆疊,0,"2016-12-14 07:57:20","2016-12-14 07:57:34",af7c83fa28
fafbce1286f6b77a2dc961a9cf04aa57,,冰淇淋,,臭豆腐,,叉燒,麻糬,,環狀堆疊,1,"2016-12-14 07:58:06","2016-12-14 07:58:18",28ca33eb74
cb1351c7e6dd5c4b3ee17faa9b5e5e60,,,咖哩,臭豆腐,義大利肉醬,,,,剖面精美展示,0,"2016-12-14 07:59:02","2016-12-14 07:59:14",3dc0a02ce9
ed4b69edc14eb85a728678820fe5baa3,,冰淇淋,咖哩,,,叉燒,,,環狀堆疊,1,"2016-12-14 08:00:47","2016-12-14 08:00:59",538a997e3c
451252e58cf0e7fdf4581a0049e7c2ee,抹茶,冰淇淋,,,,,麻糬,,一列排開展示,0,"2016-12-14 08:03:22","2016-12-14 08:04:00",1874a1b3cc
1e2574610bf0d260197d353e0b3836bb,抹茶,冰淇淋,咖哩,,,叉燒,,,剖面精美展示,1,"2016-12-14 08:06:16","2016-12-14 08:06:40",1031fbc68f
5d5ae54d8ae07016e42bd6f10a74b1c8,抹茶,冰淇淋,咖哩,,,叉燒,,,一列排開展示,1,"2016-12-14 08:07:30","2016-12-14 08:07:43",280fa62da1
aec6d9cb10a80b3e72a04ed229d41fc8,,,,,,叉燒,麻糬,,剖面精美展示,0,"2016-12-14 08:09:00","2016-12-14 08:09:10",269d9c9de7
d2d552c614134e9ce6847d084d3e1cff,,,,,義大利肉醬,,,,剖面精美展示,0,"2016-12-14 08:09:17","2016-12-14 08:10:23",02b2632812
ea0a0977eb58bd350a902f30f0f01879,抹茶,,,臭豆腐,,,,,一列排開展示,1,"2016-12-14 08:10:13","2016-12-14 08:10:27",adde959327
d0b0e8de20fdfff2f3a76118bdc4c7e6,抹茶,,咖哩,,,,,,一列排開展示,0,"2016-12-14 08:10:59","2016-12-14 08:11:10",3d6a537381
e6925a4a511afb452e787c29d56aa916,,,,,義大利肉醬,叉燒,,,環狀堆疊,1,"2016-12-14 08:13:50","2016-12-14 08:14:05",10c8d61496
f5e908cf3354ff181e02998531d2cb76,抹茶,冰淇淋,,臭豆腐,,叉燒,麻糬,,一列排開展示,0,"2016-12-14 08:13:14","2016-12-14 08:14:10",1317d50a97
4ad5e59bcf1570104cfc873711701ca4,,,咖哩,臭豆腐,,,麻糬,,一列排開展示,1,"2016-12-14 08:14:43","2016-12-14 08:15:01",cd5c30361f
36221759f1a52f6cfd642a1cda38aedb,,冰淇淋,咖哩,,,叉燒,,,一列排開展示,1,"2016-12-14 08:15:40","2016-12-14 08:15:51",71d51bc9be
b0a7c1f2a77b815f7a7df8aa196e3d94,抹茶,,咖哩,,,,,香芋,環狀堆疊,0,"2016-12-14 08:14:47","2016-12-14 08:16:00",c16a2a3d38
426204480f7f76717ecdebe2b43e6d19,,,咖哩,,義大利肉醬,,,,一列排開展示,1,"2016-12-14 08:16:31","2016-12-14 08:16:42",ec1f0413d6
